OBJECT_NAME,NORAD_CAT_ID
DELTA 1 DEB,606
DELTA 1 DEB,607
ERS 6,608
THOR AGENA D,609
SCOUT X-3 DEB,610
SCOUT X-3 DEB,611
GRS,612
THOR AGENA B,613
HITCH HIKER 1,614
THOR AGENA B DEB,615
THOR AGENA B DEB,616
THOR AGENA D DEB,617
ATLAS AGENA D,618
ATLAS AGENA D DEB,619
ATLAS AGENA D R/B,620
THOR AGENA D,621
MIDAS 7/ERS 10,622
THOR AGENA D DEB,623
DASH 2,624
DELTA 1 R/B,625
THOR AGENA D,626
THOR AGENA D DEB,627
WESTFORD NEEDLES,628
WESTFORD NEEDLES,629
ATLAS AGENA B DEB,630
ATLAS AGENA B DEB,631
COSMOS 19,632
SL-7 R/B,633
SYNCOM 2 (A 26),634
ERS 9,635
THOR AGENA D,636
THOR AGENA D,637
0.1 SQ METER TARGET,638
THOR AGENA D DEB,639
THOR AGENA D DEB,640
ATLAS AGENA D,641
THOR AGENA D DEB,642
THOR ABLESTAR DEB,643
THOR ABLESTAR DEB,644
THOR ABLESTAR DEB,645
THOR ABLESTAR DEB,646
THOR ABLESTAR DEB,647
THOR ABLESTAR DEB,648
THOR ABLESTAR DEB,649
THOR ABLESTAR DEB,650
THOR ABLESTAR DEB,651
THOR ABLESTAR DEB,652
THOR ABLESTAR DEB,653
THOR ABLESTAR DEB,654
THOR ABLESTAR DEB,655
THOR ABLESTAR DEB,656
THOR ABLESTAR DEB,657
THOR ABLESTAR DEB,658
THOR ABLESTAR DEB,659
THOR ABLESTAR DEB,660
THOR ABLESTAR DEB,661
THOR ABLESTAR DEB,662
ATLAS AGENA D DEB,663
ATLAS AGENA D DEB,664
ATLAS AGENA D DEB,665
ATLAS AGENA D DEB,666
ATLAS AGENA D DEB,667
THOR AGENA D,668
THOR ABLESTAR R/B,669
TRANSIT 5B-1,670
RADIATION SAT (5E-1),671
THOR ABLESTAR DEB,672
COSMOS 20,673
VELA 2,674
ERS 12,675
SL-3 R/B,676
ATLAS AGENA D,677
ATLAS AGENA D R/B,678
ATLAS AGENA D DEB,679
ATLAS AGENA D DEB,680
THOR AGENA D,681
HITCH HIKER 2,682
POLYOT 1,683
SL-5 DEB,684
SL-5 R/B,685
SL-5 DEB,686
COSMOS 21,687
SL-6 R/B,688
COSMOS 22,689
SL-3 R/B,690
THOR AGENA D DEB,691
VELA 1,692
EXPLORER 18 (IMP-1),693
ATLAS CENTAUR 2,694
THOR AGENA D,695
ATLAS CENTAUR 2 DEB,696
ATLAS CENTAUR 2 DEB,697
ATLAS CENTAUR 2 DEB,698
ATLAS CENTAUR 2 DEB,699
ATLAS CENTAUR 2 DEB,700
ATLAS CENTAUR 2 DEB,701
WESTFORD NEEDLES,702
THOR ABLESTAR R/B,703
TRANSIT 5B-2,704
TRANSIT 5E-3,705
THOR ABLESTAR DEB,706
COSMOS 23,707
SL-7 R/B,708
SL-7 DEB,709
SL-7 DEB,710
ATLAS AGENA D,711
COSMOS 24,712
SL-3 R/B,713
EXPLORER 19 (ADI-1),714
THOR ABLESTAR DEB,715
TIROS 8,716
DELTA 1 R/B,717
THOR AGENA D,718
HITCH HIKER 3,719
DELTA 1 DEB,720
SCOUT X-4 R/B,721
SCOUT X-4 DEB,722
SCOUT X-4 DEB,723
SCOUT X-4 DEB,724
SCOUT X-4 DEB,725
SCOUT X-4 DEB,726
THOR AGENA D R/B,727
GGSE 1 (GGRS),728
SECOR 1B,729
SOLRAD 7A,730
GREB,731
SCOUT X-4 DEB,732
THOR AGENA D R/B,733
OPS 3367 A,734
OPS 3367 B,735
DELTA 1 DEB,736
RELAY 2,737
DELTA 1 R/B,738
ATLAS CENTAUR 2 DEB,739
ECHO 2 (A-12),740
THOR AGENA B R/B,741
THOR AGENA B DEB,742
THOR AGENA B DEB,743
SATURN 1 (SATURN SA-5),744
THOR ABLESTAR DEB,745
ELEKTRON 1,746
RANGER 6 (RA-6),747
ELEKTRON 2,748
THOR AGENA B DEB,749
ELEKTRON 1 DEB,750
SL-3 R/B,751
OPS 3444,752
THOR ABLESTAR DEB,753
OPS 2423,754
OPS 3444 DEB,755
OPS 2423 DEB,756
COSMOS 25,757
SL-7 R/B,758
OPS 3722,759
OPS 3722 DEB,760
